customerid,first_name,last_name,date_of_birth,address,phone_number,email,ssn,registration_date,customer_status,gender,marital_status,occupation,income_level,education_level,nationality,preferred_language,accountid,account_type,balance,opening_date,account_status,interest_rate,credit_limit,available_credit,overdraft_limit,minimum_balance,transactionid,transaction_type,amount,transaction_date,description,transaction_method,currency,exchange_rate,cardid,card_number,expiration_date,cvv,card_type,card_status,loanid,loan_amount,loan_interest_rate,term,start_date,end_date,loan_status,monthly_payment,loan_purpose,repayment_schedule
1,Phạm,Vũ,1987-05-10,"Apt. 330 5510 Lâm Mission, Quảng Bình, MI TYAB 3QX",021 3189 3135,vu.vinh@hotmail.com,302-91-2200,2025-04-08,Active,Female,Widowed,Sales Officer,14989165.00,High School,Vietnamese,Vietnamese,972,Checking,8356726.00,2025-02-02,Closed,3.49,19147923.00,6827768.00,1996933.00,316709.00,4267,Deposit,1114056.00,2025-07-12T10:58:37.079811,Dép quần vàng mua tủ chết.,Branch,VND,1.0000,1016,6007220917186573,2028-07-13,934,Debit,Active,1057,972130524.00,21.98,269,2024-08-28,2047-01-28,Pending,3613868.12,Personal,Quarterly
1,Phạm,Vũ,1987-05-10,"Apt. 330 5510 Lâm Mission, Quảng Bình, MI TYAB 3QX",021 3189 3135,vu.vinh@hotmail.com,302-91-2200,2025-04-08,Active,Female,Widowed,Sales Officer,14989165.00,High School,Vietnamese,Vietnamese,972,Checking,8356726.00,2025-02-02,Closed,3.49,19147923.00,6827768.00,1996933.00,316709.00,4267,Deposit,1114056.00,2025-07-12T10:58:37.079811,Dép quần vàng mua tủ chết.,Branch,VND,1.0000,111678,6759470659685031,2027-07-13,211,Prepaid,Inactive,1057,972130524.00,21.98,269,2024-08-28,2047-01-28,Pending,3613868.12,Personal,Quarterly
1,Phạm,Vũ,1987-05-10,"Apt. 330 5510 Lâm Mission, Quảng Bình, MI TYAB 3QX",021 3189 3135,vu.vinh@hotmail.com,302-91-2200,2025-04-08,Active,Female,Widowed,Sales Officer,14989165.00,High School,Vietnamese,Vietnamese,972,Checking,8356726.00,2025-02-02,Closed,3.49,19147923.00,6827768.00,1996933.00,316709.00,1292,Withdrawal,2336086.00,2025-07-11T10:58:37.046989,Anh mây biển bè thuê ruộng đang.,Branch,VND,1.0000,1016,6007220917186573,2028-07-13,934,Debit,Active,1057,972130524.00,21.98,269,2024-08-28,2047-01-28,Pending,3613868.12,Personal,Quarterly
1,Phạm,Vũ,1987-05-10,"Apt. 330 5510 Lâm Mission, Quảng Bình, MI TYAB 3QX",021 3189 3135,vu.vinh@hotmail.com,302-91-2200,2025-04-08,Active,Female,Widowed,Sales Officer,14989165.00,High School,Vietnamese,Vietnamese,972,Checking,8356726.00,2025-02-02,Closed,3.49,19147923.00,6827768.00,1996933.00,316709.00,1292,Withdrawal,2336086.00,2025-07-11T10:58:37.046989,Anh mây biển bè thuê ruộng đang.,Branch,VND,1.0000,111678,6759470659685031,2027-07-13,211,Prepaid,Inactive,1057,972130524.00,21.98,269,2024-08-28,2047-01-28,Pending,3613868.12,Personal,Quarterly
1,Phạm,Vũ,1987-05-10,"Apt. 330 5510 Lâm Mission, Quảng Bình, MI TYAB 3QX",021 3189 3135,vu.vinh@hotmail.com,302-91-2200,2025-04-08,Active,Female,Widowed,Sales Officer,14989165.00,High School,Vietnamese,Vietnamese,972,Checking,8356726.00,2025-02-02,Closed,3.49,19147923.00,6827768.00,1996933.00,316709.00,17648,Transfer,3070286.00,2025-07-09T11:01:12.104864,Xanh tôi việc tui giết mây giết hóa.,ATM,VND,1.0000,1016,6007220917186573,2028-07-13,934,Debit,Active,1057,972130524.00,21.98,269,2024-08-28,2047-01-28,Pending,3613868.12,Personal,Quarterly
1,Phạm,Vũ,1987-05-10,"Apt. 330 5510 Lâm Mission, Quảng Bình, MI TYAB 3QX",021 3189 3135,vu.vinh@hotmail.com,302-91-2200,2025-04-08,Active,Female,Widowed,Sales Officer,14989165.00,High School,Vietnamese,Vietnamese,972,Checking,8356726.00,2025-02-02,Closed,3.49,19147923.00,6827768.00,1996933.00,316709.00,17648,Transfer,3070286.00,2025-07-09T11:01:12.104864,Xanh tôi việc tui giết mây giết hóa.,ATM,VND,1.0000,111678,6759470659685031,2027-07-13,211,Prepaid,Inactive,1057,972130524.00,21.98,269,2024-08-28,2047-01-28,Pending,3613868.12,Personal,Quarterly
1,Phạm,Vũ,1987-05-10,"Apt. 330 5510 Lâm Mission, Quảng Bình, MI TYAB 3QX",021 3189 3135,vu.vinh@hotmail.com,302-91-2200,2025-04-08,Active,Female,Widowed,Sales Officer,14989165.00,High School,Vietnamese,Vietnamese,972,Checking,8356726.00,2025-02-02,Closed,3.49,19147923.00,6827768.00,1996933.00,316709.00,268821,Withdrawal,2696593.00,2025-07-06T11:16:16.840747,Quần leo quê tôi.,ATM,VND,1.0000,1016,6007220917186573,2028-07-13,934,Debit,Active,1057,972130524.00,21.98,269,2024-08-28,2047-01-28,Pending,3613868.12,Personal,Quarterly
1,Phạm,Vũ,1987-05-10,"Apt. 330 5510 Lâm Mission, Quảng Bình, MI TYAB 3QX",021 3189 3135,vu.vinh@hotmail.com,302-91-2200,2025-04-08,Active,Female,Widowed,Sales Officer,14989165.00,High School,Vietnamese,Vietnamese,972,Checking,8356726.00,2025-02-02,Closed,3.49,19147923.00,6827768.00,1996933.00,316709.00,268821,Withdrawal,2696593.00,2025-07-06T11:16:16.840747,Quần leo quê tôi.,ATM,VND,1.0000,111678,6759470659685031,2027-07-13,211,Prepaid,Inactive,1057,972130524.00,21.98,269,2024-08-28,2047-01-28,Pending,3613868.12,Personal,Quarterly
1,Phạm,Vũ,1987-05-10,"Apt. 330 5510 Lâm Mission, Quảng Bình, MI TYAB 3QX",021 3189 3135,vu.vinh@hotmail.com,302-91-2200,2025-04-08,Active,Female,Widowed,Sales Officer,14989165.00,High School,Vietnamese,Vietnamese,972,Checking,8356726.00,2025-02-02,Closed,3.49,19147923.00,6827768.00,1996933.00,316709.00,40754,Withdrawal,300595.00,2025-07-05T11:01:12.269606,Mây đang đạp chìm ruộng.,ATM,VND,1.0000,1016,6007220917186573,2028-07-13,934,Debit,Active,1057,972130524.00,21.98,269,2024-08-28,2047-01-28,Pending,3613868.12,Personal,Quarterly
1,Phạm,Vũ,1987-05-10,"Apt. 330 5510 Lâm Mission, Quảng Bình, MI TYAB 3QX",021 3189 3135,vu.vinh@hotmail.com,302-91-2200,2025-04-08,Active,Female,Widowed,Sales Officer,14989165.00,High School,Vietnamese,Vietnamese,972,Checking,8356726.00,2025-02-02,Closed,3.49,19147923.00,6827768.00,1996933.00,316709.00,40754,Withdrawal,300595.00,2025-07-05T11:01:12.269606,Mây đang đạp chìm ruộng.,ATM,VND,1.0000,111678,6759470659685031,2027-07-13,211,Prepaid,Inactive,1057,972130524.00,21.98,269,2024-08-28,2047-01-28,Pending,3613868.12,Personal,Quarterly
